symbol,date,close,adjusted_close,change,matched_volume,matched_value,agreement_volume,agreement_value,open,high,low
FPT,25/01/2017,45.1,9.84,+0.40 (+0.89%),421770,18.99,0,0,44.9,45.3,44.65
FPT,02/02/2017,44.9,9.8,-0.20 (-0.44%),487480,21.85,0,0,45.2,45.4,44.6
FPT,03/02/2017,44.7,9.75,-0.20 (-0.45%),497380,22.2,0,0,44.7,44.9,44.4
FPT,06/02/2017,44.3,9.67,-0.40 (-0.89%),553780,24.54,0,0,44.5,44.5,44.2
FPT,07/02/2017,44.5,9.71,+0.20 (+0.45%),919390,40.93,0,0,44.25,44.7,44.25
FPT,08/02/2017,44.6,9.73,+0.10 (+0.22%),580940,25.91,0,0,44.6,44.95,44.45
FPT,09/02/2017,44.55,9.72,-0.05 (-0.11%),796670,35.53,0,0,44.6,44.7,44.5
FPT,10/02/2017,44.45,9.7,-0.10 (-0.22%),615430,27.33,0,0,44.5,44.6,44.25
FPT,13/02/2017,44.8,9.78,+0.35 (+0.79%),843490,37.65,0,0,44.6,44.85,44.4
FPT,14/02/2017,46.4,10.12,+1.60 (+3.57%),1942460,88.44,0,0,45,46.4,44.9
FPT,15/02/2017,46,10.04,-0.40 (-0.86%),1155260,53.32,0,0,46.5,46.5,45.8
FPT,16/02/2017,45.3,9.88,-0.70 (-1.52%),1114930,51.11,0,0,46,46.25,45.3
FPT,17/02/2017,45.3,9.88,0 (0.00%),816130,36.85,0,0,45.2,45.5,44.9
FPT,20/02/2017,45.05,9.83,-0.25 (-0.55%),739970,33.45,0,0,45.3,45.4,45
FPT,21/02/2017,45.4,9.91,+0.35 (+0.78%),1056640,48.05,0,0,45.3,45.9,45.05
FPT,22/02/2017,45.8,9.99,+0.40 (+0.88%),1230810,56.47,0,0,45.7,46.3,45.4
FPT,23/02/2017,46,10.04,+0.20 (+0.44%),1042580,47.94,0,0,45.9,46.35,45.65
FPT,24/02/2017,46,10.04,0 (0.00%),929360,42.59,0,0,46,46.1,45.5
FPT,27/02/2017,46.55,10.16,+0.55 (+1.20%),1791360,83.37,0,0,46.55,46.9,46
FPT,28/02/2017,45.85,10,-0.70 (-1.50%),787960,36.51,0,0,46.6,46.8,45.8
FPT,02/03/2017,45.45,9.92,-0.25 (-0.55%),625140,28.49,0,0,45.7,45.9,45.4
FPT,03/03/2017,45.65,9.96,+0.20 (+0.44%),400430,18.23,0,0,45.45,45.9,45.15
FPT,06/03/2017,45.95,10.03,+0.30 (+0.66%),519090,23.83,0,0,45.65,46.1,45.65
FPT,07/03/2017,45.8,9.99,-0.15 (-0.33%),474030,21.68,0,0,46,46,45.55
FPT,08/03/2017,45.8,9.99,0 (0.00%),486250,22.27,0,0,45.7,46,45.55
FPT,09/03/2017,45.5,9.93,-0.30 (-0.66%),517110,23.64,0,0,45.8,45.9,45.5
FPT,10/03/2017,46,10.04,+0.50 (+1.10%),1204950,55.45,0,0,46,46.4,45.7
FPT,13/03/2017,45.75,9.98,-0.25 (-0.54%),463260,21.27,0,0,46.1,46.3,45.7
FPT,14/03/2017,45.7,9.97,-0.05 (-0.11%),600400,27.53,0,0,45.8,46.2,45.7
FPT,15/03/2017,45.55,9.94,-0.15 (-0.33%),632570,28.86,0,0,45.7,45.9,45.45
FPT,16/03/2017,45.7,9.97,+0.15 (+0.33%),610500,27.88,0,0,45.6,45.9,45.5
FPT,17/03/2017,45.9,10.02,+0.20 (+0.44%),987600,45.42,0,0,45.9,46.3,45.75
FPT,20/03/2017,46.6,10.17,+0.70 (+1.53%),1573640,72.95,0,0,45.9,46.7,45.9
FPT,21/03/2017,46.6,10.17,0 (0.00%),1881270,88.3,0,0,46.8,47.25,46.6
FPT,22/03/2017,46.1,10.06,-0.50 (-1.07%),1208130,56.16,0,0,46.7,46.75,46.1
FPT,23/03/2017,48,10.47,+1.90 (+4.12%),2026020,94.93,0,0,46,48,45.9
FPT,24/03/2017,47.7,10.41,-0.30 (-0.62%),1937460,93.21,0,0,48.4,49,47.45
FPT,27/03/2017,47.6,10.39,-0.10 (-0.21%),1021940,48.59,0,0,47.6,48,47.25
FPT,28/03/2017,47.4,10.34,-0.20 (-0.42%),1161770,55.45,0,0,47.6,48.25,47.3
FPT,29/03/2017,47.5,10.36,+0.10 (+0.21%),605170,28.7,0,0,47.4,47.8,47.2
FPT,30/03/2017,47.1,10.28,-0.40 (-0.84%),752470,35.65,0,0,47.5,47.85,47.1
FPT,31/03/2017,47.3,10.32,+0.20 (+0.42%),1213360,57.5,0,0,47.1,47.7,47
FPT,03/04/2017,46.4,10.12,-0.90 (-1.90%),1994720,93.32,0,0,47.3,47.5,46.4
FPT,04/04/2017,47,10.26,+0.60 (+1.29%),981010,45.84,0,0,46.35,47,46.35
FPT,05/04/2017,46.55,10.16,-0.45 (-0.96%),598970,28.01,0,0,47,47,46.55
FPT,07/04/2017,47,10.26,+0.45 (+0.97%),900280,42.06,0,0,46.35,47.05,46.35
FPT,10/04/2017,47,10.26,0 (0.00%),421960,19.86,0,0,47,47.25,46.9
FPT,11/04/2017,46.95,10.24,-0.05 (-0.11%),405130,19.05,0,0,47,47.3,46.8
FPT,12/04/2017,47.55,10.38,+0.60 (+1.28%),1296510,61.34,0,0,47,47.75,46.95
FPT,13/04/2017,47.25,10.31,-0.30 (-0.63%),518960,24.6,0,0,47.35,47.6,47.2
FPT,14/04/2017,46.05,10.05,-1.20 (-2.54%),1444000,67.11,0,0,47.1,47.15,45.9
FPT,17/04/2017,45.7,9.97,-0.35 (-0.76%),1066820,49.16,0,0,46.05,46.5,45.7
FPT,18/04/2017,46,10.04,+0.30 (+0.66%),596530,27.22,0,0,45.7,46,45.35
FPT,19/04/2017,46,10.04,0 (0.00%),1132270,52.23,0,0,46,46.4,45.9
FPT,20/04/2017,45.85,10,-0.15 (-0.33%),526060,24.2,0,0,46,46.35,45.8
FPT,21/04/2017,45.85,10,0 (0.00%),407700,18.8,0,0,46.2,46.4,45.85
FPT,24/04/2017,45.75,9.98,-0.10 (-0.22%),465680,21.34,0,0,45.85,46.05,45.65
FPT,25/04/2017,45.65,9.96,-0.10 (-0.22%),602100,27.55,0,0,45.6,46,45.5
FPT,26/04/2017,46,10.04,+0.35 (+0.77%),483590,22.21,0,0,45.9,46.05,45.7
FPT,27/04/2017,46.5,10.15,+0.50 (+1.09%),1001040,46.53,0,0,46.1,46.7,46.1
FPT,28/04/2017,46.45,10.14,-0.05 (-0.11%),444560,20.6,0,0,46.4,46.55,46
FPT,03/05/2017,47,10.26,+0.55 (+1.18%),806650,37.7,0,0,46.7,47.3,46.45
FPT,04/05/2017,47,10.26,0 (0.00%),692490,32.66,0,0,47,47.4,46.9
FPT,05/05/2017,47.1,10.28,+0.10 (+0.21%),309370,14.58,0,0,47,47.25,46.9
FPT,08/05/2017,47,10.26,-0.10 (-0.21%),367850,17.29,0,0,46.9,47.15,46.8
FPT,09/05/2017,48.3,10.54,+1.30 (+2.77%),1168370,55.83,0,0,47.2,48.3,47.2
FPT,10/05/2017,48.1,10.5,-0.20 (-0.41%),1568980,76.14,0,0,48.5,48.95,48.1
FPT,11/05/2017,48.1,10.5,0 (0.00%),709020,34.09,0,0,48.1,48.4,47.65
FPT,12/05/2017,48,10.47,-0.10 (-0.21%),528780,25.48,0,0,48.1,48.4,48
FPT,15/05/2017,47.8,10.43,-0.20 (-0.42%),506520,24.24,0,0,48,48,47.75
FPT,16/05/2017,47.5,10.36,-0.30 (-0.63%),638370,30.54,0,0,47.8,48.3,47.45
FPT,17/05/2017,47.8,10.43,+0.30 (+0.63%),553800,26.3,0,0,47.5,48,47.25
FPT,18/05/2017,47.9,10.45,+0.10 (+0.21%),909220,43.73,0,0,47.95,48.7,47.65
FPT,19/05/2017,48.4,10.56,+0.50 (+1.04%),718260,34.61,0,0,47.9,48.4,47.8
FPT,22/05/2017,48.5,10.58,+0.10 (+0.21%),1719610,83.8,0,0,48.5,49.05,48.5
